filter,sparse_input,beta_scaling,beta,dim,mse
FullSF,false,false,0.1,64,0.14541951380839227
BlockSF,false,true,0.025,128,0.8238618357559689
FullSF,false,true,0.035355339059327376,64,0.6347471583153399
BlockSF,false,false,0.1,256,6.547296462089036e290
DiagSF,false,true,0.0125,512,2.1685553418128653e28
FullSF,false,false,0.1,128,NaN
BlockSF,false,true,0.017677669529663688,256,0.9022885469719005
FullSF,false,true,0.025,128,0.7506098159890099
BlockSF,false,false,0.1,512,NaN
BlockSF,false,true,0.0125,512,NaN
FullSF,false,false,0.1,256,NaN
FullSF,false,true,0.017677669529663688,256,0.8358952606351222
DiagSF,false,false,0.1,8,0.3151845857183262
DiagSF,false,false,0.1,16,0.3274753200632405
DiagSF,false,true,0.1,8,0.23591360505108705
DiagSF,false,false,0.1,32,0.3705947070110083
DiagSF,false,true,0.07071067811865475,16,0.49618904189375174
BlockSF,false,false,0.1,8,0.23499262093912926
BlockSF,false,true,0.1,8,0.174302207811843
DiagSF,false,false,0.1,64,0.5709673365457226
DiagSF,false,true,0.05,32,0.6266086753816017
BlockSF,false,false,0.1,16,0.2444212390255212
FullSF,false,false,0.1,8,0.13833498145351003
FullSF,false,true,0.1,8,0.16173989301067618
BlockSF,false,true,0.07071067811865475,16,0.36525231814239184
DiagSF,false,false,0.1,128,NaN
BlockSF,false,false,0.1,32,0.29667359054185577
FullSF,false,false,0.1,16,0.216927707142134
DiagSF,false,true,0.035355339059327376,64,0.7915717947853955
FullSF,false,true,0.07071067811865475,16,0.29653853354100707
BlockSF,false,true,0.05,32,0.4799073751332414
DiagSF,false,false,0.1,256,NaN
BlockSF,false,false,0.1,64,0.32784005777550423
FullSF,false,false,0.1,32,0.2296178778325738
DiagSF,false,true,0.025,128,0.9133229268444879
FullSF,false,true,0.05,32,0.4582961662086046
BlockSF,false,true,0.035355339059327376,64,0.6585205649852935
DiagSF,false,true,0.017677669529663688,256,0.9590518339730537
BlockSF,false,false,0.1,128,0.37187122181262494
DiagSF,false,false,0.1,512,NaN
FullSF,false,false,0.1,64,0.23232694408018248
BlockSF,false,true,0.025,128,0.7944527046588675
FullSF,false,true,0.035355339059327376,64,0.5644695650134429
BlockSF,false,false,0.1,256,NaN
DiagSF,false,true,0.0125,512,4.0693355306705555e13
FullSF,false,false,0.1,128,NaN
BlockSF,false,true,0.017677669529663688,256,0.8630389726899179
BlockSF,false,false,0.1,512,6.113624117189848e58
FullSF,false,true,0.025,128,0.7493327226387303
BlockSF,false,true,0.0125,512,NaN
FullSF,false,false,0.1,256,NaN
FullSF,false,true,0.017677669529663688,256,0.8181777430916206
DiagSF,false,false,0.1,8,0.2688888557097484
DiagSF,false,false,0.1,16,0.38607330323121175
